threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
-5.0,0.1,31626,25488,6138,1.0,1.0,0.0,0.8059191804211725
-5.0,0.2,31626,25488,6138,1.0,1.0,0.0,0.8059191804211725
-5.0,0.3,31626,25488,6138,1.0,1.0,0.0,0.8059191804211725
-5.0,0.4,31626,25488,6138,1.0,1.0,0.0,0.8059191804211725
-5.0,0.5,31586,25488,6098,1.0,0.9934832192896709,0.006516780710329129,0.8069397834483631
-5.0,0.6,29759,25450,4309,0.9985091023226617,0.702020202020202,0.297979797979798,0.855203467858463
-5.0,0.7,25312,24338,974,0.9548807281858129,0.1586836102965135,0.8413163897034865,0.9615202275600506
-5.0,0.8,19828,19805,23,0.7770323289391086,0.003747148908439231,0.9962528510915608,0.9988400242081904
-5.0,0.9,519,519,0,0.020362523540489643,0.0,1.0,1.0
0.0,0.1,32158,30554,1604,1.0,1.0,0.0,0.9501212761987686
0.0,0.2,32158,30554,1604,1.0,1.0,0.0,0.9501212761987686
0.0,0.3,32158,30554,1604,1.0,1.0,0.0,0.9501212761987686
0.0,0.4,32158,30554,1604,1.0,1.0,0.0,0.9501212761987686
0.0,0.5,32156,30553,1603,0.9999672710610722,0.9993765586034913,0.0006234413965087171,0.9501492722975494
0.0,0.6,31847,30525,1322,0.9990508607710938,0.8241895261845387,0.17581047381546133,0.9584890256539077
0.0,0.7,29955,29489,466,0.965143680041893,0.29052369077306733,0.7094763092269327,0.9844433316641629
0.0,0.8,22315,22283,32,0.7292989461281665,0.0199501246882793,0.9800498753117207,0.9985659870042572
0.0,0.9,553,553,0,0.01809910322707338,0.0,1.0,1.0
3.0,0.1,33826,33167,659,1.0,1.0,0.0,0.9805179447762077
3.0,0.2,33826,33167,659,1.0,1.0,0.0,0.9805179447762077
3.0,0.3,33826,33167,659,1.0,1.0,0.0,0.9805179447762077
3.0,0.4,33826,33167,659,1.0,1.0,0.0,0.9805179447762077
3.0,0.5,33826,33167,659,1.0,1.0,0.0,0.9805179447762077
3.0,0.6,33702,33125,577,0.998733681068532,0.8755690440060698,0.12443095599393017,0.9828793543409887
3.0,0.7,32269,32019,250,0.9653872825398739,0.37936267071320184,0.6206373292867982,0.992252626359664
3.0,0.8,23018,22999,19,0.6934302167817409,0.028831562974203338,0.9711684370257967,0.9991745590407507
3.0,0.9,539,539,0,0.01625109295383966,0.0,1.0,1.0
6.0,0.1,31927,31653,274,1.0,1.0,0.0,0.9914179221348701
6.0,0.2,31927,31653,274,1.0,1.0,0.0,0.9914179221348701
6.0,0.3,31927,31653,274,1.0,1.0,0.0,0.9914179221348701
6.0,0.4,31927,31653,274,1.0,1.0,0.0,0.9914179221348701
6.0,0.5,31927,31653,274,1.0,1.0,0.0,0.9914179221348701
6.0,0.6,31827,31588,239,0.9979464821659875,0.8722627737226277,0.12773722627737227,0.9924906525905678
6.0,0.7,30588,30478,110,0.962878716077465,0.40145985401459855,0.5985401459854014,0.9964038184909114
6.0,0.8,21810,21799,11,0.6886866963636938,0.040145985401459854,0.9598540145985401,0.9994956441999083
6.0,0.9,540,540,0,0.017059994313335228,0.0,1.0,1.0
9.0,0.1,27767,27663,104,1.0,1.0,0.0,0.9962545467641445
9.0,0.2,27767,27663,104,1.0,1.0,0.0,0.9962545467641445
9.0,0.3,27767,27663,104,1.0,1.0,0.0,0.9962545467641445
9.0,0.4,27767,27663,104,1.0,1.0,0.0,0.9962545467641445
9.0,0.5,27766,27662,104,0.9999638506308065,1.0,0.0,0.9962544118706331
9.0,0.6,27668,27577,91,0.9968911542493584,0.875,0.125,0.9967110018794275
9.0,0.7,26625,26579,46,0.9608140837942378,0.4423076923076923,0.5576923076923077,0.9982723004694836
9.0,0.8,19271,19266,5,0.6964537468821169,0.04807692307692308,0.9519230769230769,0.9997405427844949
9.0,0.9,516,516,0,0.01865307450384991,0.0,1.0,1.0
12.0,0.1,22890,22841,49,1.0,1.0,0.0,0.9978593272171253
12.0,0.2,22890,22841,49,1.0,1.0,0.0,0.9978593272171253
12.0,0.3,22890,22841,49,1.0,1.0,0.0,0.9978593272171253
12.0,0.4,22890,22841,49,1.0,1.0,0.0,0.9978593272171253
12.0,0.5,22890,22841,49,1.0,1.0,0.0,0.9978593272171253
12.0,0.6,22791,22744,47,0.9957532507333304,0.9591836734693877,0.04081632653061229,0.9979377824579878
12.0,0.7,21911,21886,25,0.9581892211374283,0.5102040816326531,0.4897959183673469,0.9988590205832687
12.0,0.8,16359,16357,2,0.716124512937262,0.04081632653061224,0.9591836734693877,0.9998777431383337
12.0,0.9,522,522,0,0.022853640383520862,0.0,1.0,1.0
