threshold_db,range_bin,stage08_tracks,stage08_true_tracks,stage08_false_tracks,stage11_kept_tracks,stage11_kept_true_tracks,stage11_kept_false_tracks,true_track_retention,false_track_reduction,precision_after
-5.0,0-50 km,15115,8999,6116,15075,8999,6076,1.0,0.0065402223675604665,0.5969485903814262
-5.0,50-100 km,10498,10476,22,10498,10476,22,1.0,0.0,0.9979043627357592
-5.0,100-200 km,6013,6013,0,6013,6013,0,1.0,,1.0
0.0,0-50 km,11237,9668,1569,11236,9668,1568,1.0,0.0006373486297004405,0.8604485582057672
0.0,50-100 km,19304,19269,35,19303,19268,35,0.9999481031708962,0.0,0.9981868103403616
0.0,100-200 km,1617,1617,0,1617,1617,0,1.0,,1.0
3.0,0-50 km,11055,10431,624,11055,10431,624,1.0,0.0,0.9435549525101764
3.0,50-100 km,22594,22559,35,22594,22559,35,1.0,0.0,0.9984509161724352
3.0,100-200 km,176,176,0,176,176,0,1.0,,1.0
3.0,>200 km,1,1,0,1,1,0,1.0,,1.0
6.0,0-50 km,12129,11897,232,12129,11897,232,1.0,0.0,0.9808722895539616
6.0,50-100 km,19786,19744,42,19786,19744,42,1.0,0.0,0.9978772869705853
6.0,100-200 km,9,9,0,9,9,0,1.0,,1.0
6.0,>200 km,3,3,0,3,3,0,1.0,,1.0
9.0,0-50 km,15207,15134,73,15207,15134,73,1.0,0.0,0.995199579141185
9.0,50-100 km,12557,12526,31,12556,12525,31,0.9999201660546064,0.0,0.9975310608474036
9.0,100-200 km,2,2,0,2,2,0,1.0,,1.0
9.0,>200 km,1,1,0,1,1,0,1.0,,1.0
12.0,0-50 km,19232,19199,33,19232,19199,33,1.0,0.0,0.9982841098169717
12.0,50-100 km,3654,3638,16,3654,3638,16,1.0,0.0,0.9956212370005474
12.0,100-200 km,4,4,0,4,4,0,1.0,,1.0
