model,threshold_db,stage08_confirmed_tracks,stage08_true_tracks,stage08_false_tracks,stage12_kept_tracks,stage12_kept_true_tracks,stage12_kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_before,precision_after,mean_score_true_tracks,mean_score_false_tracks,median_score_true_tracks,median_score_false_tracks,calibration_mode
gru_ae,-5.0,20494,20330,164,20031,20028,3,0.9851451057550418,0.018292682926829267,0.9817073170731707,0.9919976578510784,0.9998502321401828,0.9239467184609299,0.024366501894243577,0.9547817059315785,0.0,track_purity
gru_ae,0.0,20913,20897,16,20485,20484,1,0.980236397569029,0.0625,0.9375,0.999234925644336,0.9999511837930193,0.916097004900037,0.10045082175768655,0.9587909907833769,0.0,track_purity
gru_ae,3.0,19323,19317,6,18745,18745,0,0.9703887767251643,0.0,1.0,0.9996894892097501,1.0,0.9129427686112603,0.01218725265924995,0.9673735119639666,0.0,track_purity
gru_ae,6.0,16565,16564,1,16090,16090,0,0.9713837237382275,0.0,1.0,0.9999396317536976,1.0,0.9217981550417352,0.1031373942806374,0.9806896930930247,0.1031373942806374,track_purity
gru_ae,9.0,13776,13776,0,13350,13350,0,0.9690766550522648,,,1.0,1.0,0.9299788976352407,,0.9952820842852488,,track_purity
gru_ae,12.0,11244,11244,0,10845,10845,0,0.9645144076840982,,,1.0,1.0,0.9329913518098607,,1.0,,track_purity
mlp_dae,-5.0,20494,20330,164,20074,20074,0,0.9874077717658633,0.0,1.0,0.9919976578510784,1.0,0.9396258097572067,0.013068881724655368,0.9710645790032404,0.0,track_purity
mlp_dae,0.0,20913,20897,16,20507,20506,1,0.9812891802651098,0.0625,0.9375,0.999234925644336,0.9999512361632613,0.9259980043619921,0.07037679421283102,0.9721637626817633,0.0,track_purity
mlp_dae,3.0,19323,19317,6,18763,18763,0,0.9713205984366102,0.0,1.0,0.9996894892097501,1.0,0.917863773297178,0.041568465220746864,0.9759361820072108,0.0,track_purity
mlp_dae,6.0,16565,16564,1,16086,16086,0,0.971142236174837,0.0,1.0,0.9999396317536976,1.0,0.9221453006720428,0.0,0.9839072879242141,0.0,track_purity
mlp_dae,9.0,13776,13776,0,13307,13307,0,0.9659552845528455,,,1.0,1.0,0.9256851609482172,,0.9944852013478569,,track_purity
mlp_dae,12.0,11244,11244,0,10804,10804,0,0.9608680184987549,,,1.0,1.0,0.9258326434770513,,1.0,,track_purity
tcn_ae,-5.0,20494,20330,164,19216,19214,2,0.9451057550418102,0.012195121951219513,0.9878048780487805,0.9919976578510784,0.9998959200666112,0.8631097509405248,0.037691696594856376,0.9239141541549589,0.0,track_purity
tcn_ae,0.0,20913,20897,16,19368,19366,2,0.9267358951045604,0.125,0.875,0.999234925644336,0.9998967368855844,0.8497980453228546,0.15820653473620092,0.9275544446085031,0.0,track_purity
tcn_ae,3.0,19323,19317,6,17866,17866,0,0.9248848164828907,0.0,1.0,0.9996894892097501,1.0,0.8562127239678156,0.06338671087307463,0.9426773698926741,0.0038459952259982666,track_purity
tcn_ae,6.0,16565,16564,1,15550,15550,0,0.9387829026805119,0.0,1.0,0.9999396317536976,1.0,0.878073863452339,0.24728846546414607,0.9646311671236689,0.24728846546414607,track_purity
tcn_ae,9.0,13776,13776,0,13067,13067,0,0.9485336817653891,,,1.0,1.0,0.8982391107245878,,0.9878564554297414,,track_purity
tcn_ae,12.0,11244,11244,0,10695,10695,0,0.9511739594450374,,,1.0,1.0,0.9107900663233879,,1.0,,track_purity
