threshold_db,stage08_true_tracks,stage08_false_tracks,stage09_true_retention,stage09_false_reduction,stage11_true_retention,stage11_false_reduction,model,stage12_true_retention,stage12_false_reduction,stage12_precision
-5.0,20330,164,0.9734777150031388,0.7878787878787878,1.0,0.0065167807103291,gru_ae,0.07865223807181505,1.0,1.0
0.0,20897,16,0.9854028932382012,0.6365336658354115,0.9999672710610722,0.0006234413965087,gru_ae,0.08192563525864957,1.0,1.0
3.0,19317,6,0.9843519160611452,0.5523520485584219,1.0,0.0,gru_ae,0.09287156390743904,1.0,1.0
6.0,16564,1,0.981834265314504,0.4781021897810219,1.0,0.0,gru_ae,0.12406423569186187,1.0,1.0
9.0,13776,0,0.976358312547446,0.4230769230769231,0.9999638506308064,0.0,gru_ae,0.1757404181184669,,1.0
12.0,11244,0,0.9712359353793616,0.3877551020408163,1.0,0.0,gru_ae,0.24786552828175026,,1.0
-5.0,20330,164,0.9734777150031388,0.7878787878787878,1.0,0.0065167807103291,mlp_dae,0.11042793900639448,1.0,1.0
0.0,20897,16,0.9854028932382012,0.6365336658354115,0.9999672710610722,0.0006234413965087,mlp_dae,0.11614107288127483,1.0,1.0
3.0,19317,6,0.9843519160611452,0.5523520485584219,1.0,0.0,mlp_dae,0.13904850649686804,1.0,1.0
6.0,16564,1,0.981834265314504,0.4781021897810219,1.0,0.0,mlp_dae,0.18177976334218787,1.0,1.0
9.0,13776,0,0.976358312547446,0.4230769230769231,0.9999638506308064,0.0,mlp_dae,0.24448315911730545,,1.0
12.0,11244,0,0.9712359353793616,0.3877551020408163,1.0,0.0,mlp_dae,0.3105656350053362,,1.0
-5.0,20330,164,0.9734777150031388,0.7878787878787878,1.0,0.0065167807103291,tcn_ae,0.0,1.0,
0.0,20897,16,0.9854028932382012,0.6365336658354115,0.9999672710610722,0.0006234413965087,tcn_ae,0.0,1.0,
3.0,19317,6,0.9843519160611452,0.5523520485584219,1.0,0.0,tcn_ae,0.0,1.0,
6.0,16564,1,0.981834265314504,0.4781021897810219,1.0,0.0,tcn_ae,0.0,1.0,
9.0,13776,0,0.976358312547446,0.4230769230769231,0.9999638506308064,0.0,tcn_ae,7.259001161440186e-05,,1.0
12.0,11244,0,0.9712359353793616,0.3877551020408163,1.0,0.0,tcn_ae,0.0,,
