variant,threshold_db,stage08_confirmed_tracks,stage08_true_tracks,stage08_false_tracks,stage13_kept_tracks,stage13_kept_true_tracks,stage13_kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_before,precision_after,mean_score_true_tracks,mean_score_false_tracks,median_score_true_tracks,median_score_false_tracks
elbo,-5.0,20494,20330,164,19987,19984,3,0.9829808165272995,0.018292682926829267,0.9817073170731707,0.9919976578510784,0.9998499024365838,0.9187208914782692,0.021349529267841165,0.9523449839157133,0.0
elbo,0.0,20913,20897,16,20414,20413,1,0.9768387806862229,0.0625,0.9375,0.999234925644336,0.9999510140099931,0.9099976400685169,0.0972822922476982,0.9571274685293549,0.0
elbo,3.0,19323,19317,6,18672,18672,0,0.9666097220065227,0.0,1.0,0.9996894892097501,1.0,0.906840883260288,0.049185969011706354,0.9652750144692002,0.0
elbo,6.0,16565,16564,1,16051,16051,0,0.9690292199951702,0.0,1.0,0.9999396317536976,1.0,0.9159443169616871,0.0,0.9784596689967948,0.0
elbo,9.0,13776,13776,0,13306,13306,0,0.9658826945412311,,,1.0,1.0,0.9241280041167563,,0.994990102973899,
elbo,12.0,11244,11244,0,10815,10815,0,0.9618463180362861,,,1.0,1.0,0.9279294016946141,,1.0,
reconstruction,-5.0,20494,20330,164,19988,19985,3,0.9830300049188392,0.018292682926829267,0.9817073170731707,0.9919976578510784,0.9998499099459676,0.9184168553719895,0.02099843233490132,0.9511828567570173,0.0
reconstruction,0.0,20913,20897,16,20401,20400,1,0.976216681820357,0.0625,0.9375,0.999234925644336,0.9999509827949611,0.9098352686421364,0.0981077681115464,0.9562908235741404,0.0
reconstruction,3.0,19323,19317,6,18673,18673,0,0.9666614898793808,0.0,1.0,0.9996894892097501,1.0,0.9069889937792576,0.05266227537507682,0.9649480359172808,0.0
reconstruction,6.0,16565,16564,1,16041,16041,0,0.968425501086694,0.0,1.0,0.9999396317536976,1.0,0.9164823506068401,0.0,0.9782097398773195,0.0
reconstruction,9.0,13776,13776,0,13303,13303,0,0.965664924506388,,,1.0,1.0,0.9248315217154954,,0.9947012323128823,
reconstruction,12.0,11244,11244,0,10821,10821,0,0.9623799359658485,,,1.0,1.0,0.9290356444180701,,1.0,
