variant,threshold_db,range_bin,stage08_tracks,stage08_true_tracks,stage08_false_tracks,stage13_kept_tracks,stage13_kept_true_tracks,stage13_kept_false_tracks,true_track_retention,false_track_reduction,precision_after,median_vae_score
elbo,-5.0,0-50 km,9070,8906,164,8871,8868,3,0.9957332135638896,0.9817073170731707,0.9996618194115657,1.0
elbo,-5.0,50-100 km,10167,10167,0,10094,10094,0,0.992819907544015,,1.0,0.9180934943007004
elbo,-5.0,100-200 km,1257,1257,0,1022,1022,0,0.8130469371519491,,1.0,0.7416799502404153
elbo,0.0,0-50 km,9631,9615,16,9591,9590,1,0.9973998959958398,0.9375,0.9998957355854446,1.0
elbo,0.0,50-100 km,11232,11232,0,10784,10784,0,0.9601139601139601,,1.0,0.9019930535454321
elbo,0.0,100-200 km,50,50,0,39,39,0,0.78,,1.0,0.762905852912469
elbo,3.0,0-50 km,10377,10371,6,10321,10321,0,0.9951788641403915,1.0,1.0,1.0
elbo,3.0,50-100 km,8946,8946,0,8351,8351,0,0.9334898278560251,,1.0,0.8929621954618181
elbo,6.0,0-50 km,11522,11521,1,11457,11457,0,0.9944449266556723,1.0,1.0,1.0
elbo,6.0,50-100 km,5043,5043,0,4594,4594,0,0.9109656950228039,,1.0,0.8746419799897208
elbo,9.0,0-50 km,12329,12329,0,12090,12090,0,0.9806148106091329,,1.0,1.0
elbo,9.0,50-100 km,1447,1447,0,1216,1216,0,0.8403593642017968,,1.0,0.8531475211082418
elbo,12.0,0-50 km,11152,11152,0,10748,10748,0,0.9637733142037302,,1.0,1.0
elbo,12.0,50-100 km,92,92,0,67,67,0,0.7282608695652174,,1.0,0.7813871789424832
reconstruction,-5.0,0-50 km,9070,8906,164,8872,8869,3,0.9958454974174714,0.9817073170731707,0.9996618575293057,1.0
reconstruction,-5.0,50-100 km,10167,10167,0,10093,10093,0,0.992721550113111,,1.0,0.9162656737192478
reconstruction,-5.0,100-200 km,1257,1257,0,1023,1023,0,0.8138424821002387,,1.0,0.7426085942244152
reconstruction,0.0,0-50 km,9631,9615,16,9592,9591,1,0.9975039001560062,0.9375,0.9998957464553795,1.0
reconstruction,0.0,50-100 km,11232,11232,0,10770,10770,0,0.9588675213675214,,1.0,0.9011432586236374
reconstruction,0.0,100-200 km,50,50,0,39,39,0,0.78,,1.0,0.7643038849210783
reconstruction,3.0,0-50 km,10377,10371,6,10323,10323,0,0.9953717095747758,1.0,1.0,1.0
reconstruction,3.0,50-100 km,8946,8946,0,8350,8350,0,0.9333780460541024,,1.0,0.8937208416385289
reconstruction,6.0,0-50 km,11522,11521,1,11458,11458,0,0.9945317246766774,1.0,1.0,1.0
reconstruction,6.0,50-100 km,5043,5043,0,4583,4583,0,0.9087844536981955,,1.0,0.8749615387435423
reconstruction,9.0,0-50 km,12329,12329,0,12087,12087,0,0.9803714818720091,,1.0,1.0
reconstruction,9.0,50-100 km,1447,1447,0,1216,1216,0,0.8403593642017968,,1.0,0.8519567973965927
reconstruction,12.0,0-50 km,11152,11152,0,10752,10752,0,0.9641319942611191,,1.0,1.0
reconstruction,12.0,50-100 km,92,92,0,69,69,0,0.75,,1.0,0.794919530285449
