epoch,train_loss,val_loss,learning_rate,device
1,0.2562120184659958,0.1653531787554423,0.001,cpu
2,0.15160361419677734,0.1459966070175171,0.001,cpu
3,0.1369993358230591,0.13064597787857055,0.001,cpu
4,0.12944507905960084,0.12452475992043813,0.001,cpu
5,0.1245131476354599,0.12311754513581594,0.001,cpu
6,0.12102613995075226,0.11822861264546712,0.001,cpu
7,0.1184408320760727,0.11549369169871013,0.001,cpu
8,0.11625835733175277,0.11456696774959564,0.001,cpu
9,0.11477680086374283,0.11231331265767415,0.001,cpu
10,0.11260460616588593,0.11013845863342285,0.001,cpu
11,0.11197922368049622,0.11054624806245168,0.001,cpu
12,0.11081757486104965,0.10672797490755717,0.001,cpu
13,0.10972074463605881,0.10771068770885467,0.001,cpu
14,0.1091188745689392,0.10815999862353007,0.001,cpu
15,0.10818699035644531,0.1066112354516983,0.001,cpu
16,0.10762512290716171,0.10748217332363129,0.001,cpu
17,0.107352057762146,0.10571476526260376,0.001,cpu
18,0.10681117579460143,0.10485409853458405,0.001,cpu
19,0.10658345219612121,0.10723842362562816,0.001,cpu
20,0.1061514219880104,0.10337936505476633,0.001,cpu
