model,threshold_db,score_threshold,true_track_retention,false_track_reduction,precision_after,kept_true_tracks,kept_false_tracks,is_target_retention_point,is_max_false_reduction_at_retention_floor,is_max_utility
mlp_dae,-5.0,0.1,0.9965076242006886,0.9573170731707316,0.9996545939011152,20259,7,False,False,False
mlp_dae,-5.0,0.2,0.9954746679783572,0.9695121951219512,0.9997530010373956,20238,5,False,False,False
mlp_dae,-5.0,0.3,0.9939498278406296,0.9817073170731708,0.9998515586343394,20207,3,False,False,False
mlp_dae,-5.0,0.4,0.9914904082636498,0.9939024390243902,0.9999503919039588,20157,1,False,False,False
mlp_dae,-5.0,0.5,0.9874077717658633,1.0,1.0,20074,0,False,True,True
mlp_dae,-5.0,0.6,0.9810132808657156,1.0,1.0,19944,0,True,False,False
mlp_dae,-5.0,0.7,0.9685686178061976,1.0,1.0,19691,0,False,False,False
mlp_dae,-5.0,0.8,0.9398917855386127,1.0,1.0,19108,0,False,False,False
mlp_dae,-5.0,0.9,0.8342843089030989,1.0,1.0,16961,0,False,False,False
mlp_dae,0.0,0.1,0.9955496004211132,0.875,0.999903873882534,20804,2,False,False,False
mlp_dae,0.0,0.2,0.9940661338948176,0.9375,0.999951862905555,20773,1,False,True,True
mlp_dae,0.0,0.3,0.991099200842226,0.9375,0.9999517188103516,20711,1,False,False,False
mlp_dae,0.0,0.4,0.9869837775757284,0.9375,0.9999515175021816,20625,1,False,False,False
mlp_dae,0.0,0.5,0.9812891802651098,0.9375,0.9999512361632612,20506,1,False,False,False
mlp_dae,0.0,0.6,0.9700914006795234,0.9375,0.9999506733093276,20272,1,True,False,False
mlp_dae,0.0,0.7,0.9487486242044312,0.9375,0.999949563726232,19826,1,False,False,False
mlp_dae,0.0,0.8,0.9006077427381921,0.9375,0.9999468678603688,18820,1,False,False,False
mlp_dae,0.0,0.9,0.7746087955208881,0.9375,0.999938225846306,16187,1,False,False,False
mlp_dae,3.0,0.1,0.9895428896826628,0.8333333333333334,0.9999476878007952,19115,1,False,False,False
mlp_dae,3.0,0.2,0.9877310141326292,0.8333333333333334,0.9999475918452913,19080,1,False,False,False
mlp_dae,3.0,0.3,0.984107263032562,1.0,1.0,19010,0,False,True,True
mlp_dae,3.0,0.4,0.9792410829839002,1.0,1.0,18916,0,False,False,False
mlp_dae,3.0,0.5,0.9713205984366102,1.0,1.0,18763,0,True,False,False
mlp_dae,3.0,0.6,0.9569808976549152,1.0,1.0,18486,0,False,False,False
mlp_dae,3.0,0.7,0.93337474763162,1.0,1.0,18030,0,False,False,False
mlp_dae,3.0,0.8,0.88284930372211,1.0,1.0,17054,0,False,False,False
mlp_dae,3.0,0.9,0.7664233576642335,1.0,1.0,14805,0,False,False,False
mlp_dae,6.0,0.1,0.9895556628833616,1.0,1.0,16391,0,False,True,True
mlp_dae,6.0,0.2,0.9874426467036947,1.0,1.0,16356,0,False,False,False
mlp_dae,6.0,0.3,0.9838807051436852,1.0,1.0,16297,0,False,False,False
mlp_dae,6.0,0.4,0.9785679787490944,1.0,1.0,16209,0,False,False,False
mlp_dae,6.0,0.5,0.971142236174837,1.0,1.0,16086,0,True,False,False
mlp_dae,6.0,0.6,0.9588263704419222,1.0,1.0,15882,0,False,False,False
mlp_dae,6.0,0.7,0.9347379859937214,1.0,1.0,15483,0,False,False,False
mlp_dae,6.0,0.8,0.8877082830234243,1.0,1.0,14704,0,False,False,False
mlp_dae,6.0,0.9,0.7760202849553248,1.0,1.0,12854,0,False,False,False
